gaokao_rank,word,phonetic,translation,priority,local_corpus_count,local_corpus_rank,frq_rank,bnc_rank,collins,oxford,tags,exchange,definition
2465,carbon,'kɑ:bәn,"n. 碳, 副本, 复写纸；[化] 碳",B,4,580,3004,3062,3,,gk cet4 cet6 ky toefl ielts,s:carbons,n. an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds n. a copy made with carbon paper
2466,born,bɒ:n,a. 天生的；bear的过去分词,B,3,721,1088,1206,4,,zk gk cet4 ky,0:bear/1:d/d:born/p:born/i:borning,n. British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970) a. brought into existence
2467,ought,ɒ:t,"aux. 应该, 大概；n. 责任",B,3,771,1755,1546,3,,gk cet4 cet6 ky,,"n. & adv. See Aught. imp., p. p., or auxi Was or were under obligation to pay;    owed. imp., p. p., or auxi Owned; possessed. imp., p. p., or auxi To be bound in duty or by moral    obligation. imp., p. p., or auxi To be necessary, fit, becoming, or    expedient; to behoove; -- in this sense formerly sometimes used    impersonally or without a subject expressed.  of Owe"
2468,super,'sju:pә,"n. 跑龙套角色, 冗员, 特级品, 特大号, 管理人；a. 上等的, 特大的, 超级的, 极好的, 十分的, 过分的；adv. 非常",B,3,649,2651,4154,3,,gk cet4 cet6 ky,s:supers,s. including more than a specified category s. extremely large
2469,wipe,waip,"n. 擦拭, 用力打, 凸轮；vt. 擦, 揩, 消灭, 涂上, 拭去；vi. 擦, 打",B,3,664,2711,3112,3,,gk cet4 cet6 ky,p:wiped/i:wiping/d:wiped/3:wipes/s:wipes,v. rub with a circular motion
2470,recipe,'resipi,"n. 食谱, 处方, 秘诀；[医] 取(处方头语), 处方",B,2,962,2509,3661,2,,gk cet6 ky toefl ielts gre,s:recipes,n. directions for making something
2471,besides,bi'saidz,"prep. 除...之外；adv. 而且, 此外",B,2,1072,3012,3848,3,,zk gk cet4 ky toefl,,"r. making an additional point; anyway; besides, we can't afford it"" r. in addition"
2472,helicopter,'helikɒptә,n. 直升机；vt. 由直升机运送；vi. 乘直升机,B,2,1207,3100,4159,3,,gk cet4 cet6 ky ielts,s:helicopters/d:helicoptered/i:helicoptering/p:helicoptered,n. an aircraft without wings that obtains its lift from the rotation of overhead blades
2473,ray,rei,"n. 光线, 射线, 闪烁, 光辉；vi. 射出光线, 浮现, 放射光线；vt. 放射, 显出",B,2,1216,4432,3865,3,,gk cet4 cet6 ky toefl,s:rays/i:raying/p:rayed/3:rays/d:rayed,n. a branch of an umbel or an umbelliform inflorescence n. (mathematics) a straight line extending from a point n. any of the stiff bony spines in the fin of a fish n. cartilaginous fishes having horizontally flattened bodies and enlarged winglike pectoral fins with gills on the underside; most swim by moving the pectoral fins
2474,vice,vais,"n. 恶习, 恶行, 罪恶, 堕落, 缺陷, 恶癖, 老虎钳；vt. 钳住；prep. 代替",B,2,955,9910,7210,3,,gk cet4 cet6 ky ielts,s:vices,n. a specific form of evildoing
2475,Canada,'kænәdә,n. 加拿大,B,2,1154,0,2754,,,zk gk,,n. a nation in northern North America; the French were the first Europeans to settle in mainland Canada
2476,folk,fәuk,"n. 人们, 家人, 亲属, 民族；a. 民间的",B,1,1465,1339,2958,3,,gk cet4 cet6 ky toefl,s:folks,n. people in general (often used in the plural)
2477,AIDS,eidz,"n. 爱滋病(获得性免疫缺陷综合征)；[计] 高级综合数据系统, 先进交互调试系统, 自动图解文档编制系统；美国决策学学会, 信息自动显示系统, 自动综合调试系统",B,1,1338,1793,3757,4,,gk ielts,0:aid/1:s3,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
2478,Asian,'eiʃәn,"n. 亚洲人；a. 亚洲的, 亚洲人的",B,1,1444,2351,3725,,,zk gk,s:asians,n. a native or inhabitant of Asia a. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture
2479,negotiate,ni'gәuʃieit,"vi. 商议, 谈判, 交涉；vt. 谈妥, 转让, 处理",B,1,1515,2541,2586,4,,gk cet6 ky toefl gre,i:negotiating/d:negotiated/p:negotiated/3:negotiates,"v. succeed in passing through, around, or over"
2480,regardless,ri'gɑ:dlis,"a. 不管, 不注意, 不顾",B,1,1998,2899,4283,2,,gk cet4 cet6 ky toefl ielts,,r. in spite of everything; without regard to drawbacks
2481,storage,'stɒ:ridʒ,"n. 存储器, 储藏, 保管, 库存, 仓库；[计] 存放处; 存储",B,1,1507,2941,2703,2,,gk cet4 cet6 ky toefl ielts,s:storages,n. the act of storing something n. the commercial enterprise of storing goods and materials n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk
2482,admission,әd'miʃәn,"n. 准许进入, 入场费, 录用, 承认；[经] 加入, 入股",B,1,1326,3031,2768,2,,gk cet4 cet6 ky toefl ielts gre,s:admissions,n. the act of admitting someone to enter n. an acknowledgment of the truth of something
2483,opera,'ɒpәrә,n. 歌剧,B,1,1991,3851,2984,3,,gk cet4 cet6 ky toefl,s:operas,n. a drama set to music; consists of singing with orchestral accompaniment and an orchestral overture and interludes n. a commercial browser n. a building where musical dramas are performed
2484,cheer,tʃiә,"n. 愉快, 振奋, 欢呼；vi. 欢呼, 喝彩, 快活起来；vt. 使振奋, 欢呼",B,1,1446,4621,5070,3,,zk gk cet4 cet6 ky ielts,s:cheers/i:cheering/d:cheered/p:cheered/3:cheers,n. a cry or shout of approval v. give encouragement to v. show approval or good wishes by shouting v. cause (somebody) to feel happier or more cheerful
2751,pillow,'pilәu,"n. 枕头, 靠垫, 枕状岩；vt. 作...的枕头, 垫, 枕于；vi. 靠在枕上",C,4,621,4017,5447,2,,gk cet4 cet6 ky toefl ielts,s:pillows/p:pillowed/i:pillowing/d:pillowed/3:pillows,n. a cushion to support the head of a sleeping person v. rest on or as if on a pillow
2752,weed,wi:d,"n. 杂草, 野草；vi. 除草；vt. 除...的草, 剔除",C,4,573,4545,6003,2,,gk cet4 cet6 ky toefl ielts gre,0:wee/1:dp/s:weeds/i:weeding/d:weeded/p:weeded/3:weeds,n. any plant that crowds out cultivated plants n. a black band worn by a man (on the arm or hat) as a sign of mourning v. clear of weeds
2753,awesome,'ɒ:sәm,"a. 引起敬畏的, 可怕的",C,4,494,6337,9785,1,,gk,,s inspiring awe or admiration or wonder
2754,bacon,'beikәn,n. 熏猪肉；[机] 腌肉,C,4,484,6412,6093,2,,gk cet6 ky ielts,s:bacons,n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292) n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)
2755,cloudy,'klaudi,"a. 多云的, 有愁容的, 云的, 浑浊的；[建] (混)浊的",C,4,619,10229,11760,1,,zk gk,r:cloudier,s. lacking definite form or limits a. full of or covered with clouds s. (of liquids) clouded as with sediment
2756,Mexico,'meksikәu,n. 墨西哥,C,4,482,0,4177,,,gk,,n. a republic in southern North America; became independent from Spain in 1810
2757,mustard,'mʌstәd,"n. 芥末, 芥菜, 强烈的兴趣；[医] 芥子; 芥属植物",C,3,661,6095,8963,1,,gk cet6,s:mustards/d:mustarded,n. any of several cruciferous plants of the genus Brassica n. pungent powder or paste prepared from ground mustard seeds n. leaves eaten as cooked greens
2758,bathtub,'bɑ:θtʌb,n. 浴缸,C,3,757,9766,34329,,,gk,s:bathtubs,n. a relatively large open container that you fill with water and use to wash the body
2759,worst,wә:st,"n. 最坏, 最坏的时候；a. 最坏的, 最恶劣的, 最不利的；adv. 最坏, 最糟",C,3,704,33505,13770,1,,gk cet4 cet6 ky,0:bad/1:t/d:worsted/3:worsts/r:worst/i:/p:,n. the least favorable outcome n. the greatest damage or wickedness of which one is capable n. the weakest effort or poorest achievement one is capable of v. defeat thoroughly
2760,sacred,'seikrid,"a. 神圣的, 献给上帝的, 庄严的, 祭祀的；[法] 神圣的, 不可侵犯的",C,2,1078,3338,4692,2,,gk cet4 cet6 ky toefl ielts gre,,a. concerned with religion or religious purposes s. worthy of respect or dedication s. (often followed by `to') devoted exclusively to a single use or purpose or person
2761,sandwich,'sændwitʃ,"n. 三明治, 夹心面包, 夹层板；vt. 插入, 夹入, 把...制成三明治",C,2,1103,3529,3670,2,,zk gk cet4 cet6 ky ielts,s:sandwiches/d:sandwiched/i:sandwiching/p:sandwiched/3:sandwiches,n. two (or more) slices of bread with a filling between them v. make into a sandwich v. insert or squeeze tightly between two people or objects
2762,radiation,.reidi'eiʃәn,n. 辐射；[化] 放射,C,2,1187,3652,3892,2,,gk cet4 cet6 ky toefl,s:radiations,n. energy that is radiated or transmitted in the form of rays or waves or particles n. the act of spreading outward from a central source n. the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay n. the spread of a group of organisms into new habitats
2763,horrible,'hɒrәbl,"a. 可怕的, 遭透的, 极讨厌的",C,2,996,3750,4036,2,,gk cet4 cet6 ky ielts,,s provoking horror
2764,bounce,bauns,"n. 跳, 跳跃, 弹力, 撞击；vi. 反跳, 弹跳；vt. 使跳回, 撞击；[计] 打回",C,2,876,3792,4778,2,,gk cet4 cet6 ky toefl ielts,p:bounced/i:bouncing/d:bounced/3:bounces/s:bounces,n. the quality of a substance that is able to rebound n. rebounding from an impact (or series of impacts) v. spring back; spring away from an impact v. hit something so that it bounces
2765,oxygen,'ɒksәdʒәn,n. 氧；[化] 氧O-2,C,2,1052,3839,3719,2,,gk cet4 ky toefl,s:oxygens,n. a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
2766,hydrogen,'haidrәdʒәn,n. 氢；[化] 氢H-2,C,2,1051,5103,5200,2,,gk cet4 cet6 ky toefl ielts,s:hydrogens,n. a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
2767,hopeful,'hәupful,"n. 有希望之人, 有前途之人；a. 有希望的, 怀抱希望的, 保持乐观的",C,2,1198,5116,6877,2,,gk cet4 cet6 ky,s:hopefuls,a. having or manifesting hope
2768,toast,tәust,"n. 吐司, 烤面包, 干杯；vt. 敬酒, 烤, 使暖和；vi. 烤, 烘",C,2,883,6163,5754,,,gk cet4 cet6 ky ielts,i:toasting/s:toasts/p:toasted/d:toasted/3:toasts,n. slices of bread that have been toasted n. a celebrity who receives much acclaim and attention v. propose a toast to
2769,waitress,'weitris,"n. 女侍者, 女服务员",C,2,1142,6390,10243,1,,gk cet6 ky ielts,s:waitresses/i:waitressing/d:waitressed/3:waitresses/p:waitressed,n. a woman waiter
2770,chick,tʃik,"n. 小鸡, 小鸟, 竹帘",C,2,1170,7269,8245,2,,gk,s:chicks/3:chicks,n. young bird especially of domestic fowl
2771,tick,tik,"n. 滴答声, 一瞬间, 壁虱, 褥套, 信用, 赊欠；vi. 滴答响, 活动；vt. 滴答地记录, 标记号于",C,2,960,7358,5977,2,,gk cet4 cet6 ky ielts,i:ticking/s:ticks/p:ticked/d:ticked/3:ticks,n. a metallic tapping sound n. any of two families of small parasitic arachnids with barbed proboscis; feed on blood of warm-blooded animals n. a light mattress v. make a sound like a clock or a timer
2772,minus,'mainәs,"n. 负号, 不足；a. 减的, 负的, 阴性的；prep. 减, 缺；[计] 负差",C,2,1259,8628,4789,2,,gk cet4 cet6 ky ielts,s:minuses,a. on the negative side or lower end of a scale s. involving disadvantage or harm
2773,dizzy,'dizi,"a. 晕眩的, 眼花缭乱的；vt. 使晕眩",C,2,1256,8740,9951,2,,gk cet6 ky toefl ielts,p:dizzied/r:dizzier/d:dizzied/i:dizzying/3:dizzies,v. make dizzy or giddy s. having or causing a whirling sensation; liable to falling
2774,cheers,tʃiәz,"interj. 干杯, 再见",C,2,1302,14296,10460,,,gk,1:s3/0:cheer,n a cry or shout of approval n the quality of being cheerful and dispelling gloom v give encouragement to v show approval or good wishes by shouting v cause (somebody) to feel happier or more cheerful v become cheerful v spur on or encourage especially by cheers and shouts
2775,chef,ʃef,n. 厨师,C,1,1532,3164,6149,2,,gk ky toefl gre,s:chefs,n. a professional cook
2776,basket,'bɑ:skit,"n. 篮, 篮子；vt. 装入篮",C,1,1473,3255,3828,2,,zk gk,s:baskets,n. a container that is usually woven and has handles n. the quantity contained in a basket n. horizontal circular metal hoop supporting a net through which players try to throw the basketball n. a score in basketball made by throwing the ball through the hoop
2777,noon,nu:n,"n. 正午, 中午, 全盛期",C,1,1397,3820,6907,2,,zk gk,s:noons,n. the middle of the day
2778,Greek,gri:k,"n. 希腊人, 希腊语；a. 希腊的, 希腊人的；[计] 希腊",C,1,1615,4063,35822,,,gk cet4 cet6,s:greeks,n. the Hellenic branch of the Indo-European family of languages n. a native or inhabitant of Greece a. of or relating to or characteristic of Greece or the Greeks or the Greek language
2779,puzzle,'pʌzl,"n. 难题, 迷惑；vt. 使困惑, 使为难；vi. 迷惑, 苦思",C,1,1957,4255,6964,2,,gk cet4 cet6 ky toefl ielts,s:puzzles/i:puzzling/p:puzzled/d:puzzled/3:puzzles,n. a particularly baffling problem that is said to have a correct solution n. a game that tests your ingenuity v. be uncertain about; think about without fully understanding or being able to decide
2780,ladder,'lædә,"n. 梯, 梯状物, 发迹的途径；vi. 袜子抽丝, 成名",C,1,1739,4505,4136,2,,gk cet4 cet6 ky,s:ladders/d:laddered/p:laddered/i:laddering/3:ladders,n. steps consisting of two parallel members connected by rungs; for climbing up or down n. ascending stages by which somebody or something can progress v. come unraveled or undone as if by snagging
2781,grape,greip,"n. 葡萄, 葡萄树；[医] 葡萄",C,1,1751,4764,6533,2,,zk gk cet4 cet6 ky,s:grapes,n. any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters n. any of numerous woody vines of genus Vitis bearing clusters of edible berries
2782,choir,'kwaiә,"n. 唱诗班, 唱诗班的席位；v. 合唱",C,1,1808,5331,5092,2,,gk ielts gre,s:choirs,n. a chorus that sings as part of a religious ceremony n. a family of similar musical instrument playing together n. the area occupied by singers; the part of the chancel between sanctuary and nave v. sing in a choir
2783,dioxide,dai'ɒksaid,n. 二氧化物；[医] 二氧化物,C,1,1750,5712,4653,,,gk cet6 toefl ielts,s:dioxides,n. an oxide containing two atoms of oxygen in the molecule
2784,sniff,snif,"n. 以鼻吸气, 嗅, 气息；vi. 嗅, 蔑视, 嗤之以鼻；vt. 闻, 用力吸, 发觉",C,1,1510,5870,5455,2,,gk cet6 ky toefl,p:sniffed/i:sniffing/d:sniffed/3:sniffs/s:sniffs,n. sensing an odor by inhaling through the nose v. perceive by inhaling through the nose v. inhale audibly through the nose
2785,daylight,'deilait,"n. 白昼, 日光；vt. 使沐浴于日光；vi. 享有日光",C,1,1530,5997,5270,2,,gk cet4 ky,s:daylights/i:daylighting,n. light during the daytime
2786,arch,ɑ:tʃ,"n. 拱门, 拱形, 足弓；vt. 使成弓形；vi. 拱起, 成弓形；a. 主要的, 调皮的, 傲慢无礼的, 狡猾的",C,1,1736,6326,4771,2,,gk cet6 ky toefl ielts gre,s:arches/p:arched/i:arching/d:arched/3:arches,n. a curved shape in the vertical plane that spans an opening n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet) n. a passageway under a curved masonry construction n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it
